Date,Time,Latitude,Longitude,Altitude (m),Speed (m/s)
2021-10-05,15:38:08,-34.8202590064958,-58.530192985336456,0.0,8.231104
2021-10-05,15:38:13,-34.82035558596658,-58.52971944629909,0.0,8.169114027436311
2021-10-05,15:38:18,-34.820443798327894,-58.52927897334988,0.0,8.174749479487557
2021-10-05,15:38:23,-34.82052599943208,-58.52886200820811,0.0,8.231104
2021-10-05,15:38:28,-34.820604545131474,-58.528458992593016,0.0,8.321271232819909
2021-10-05,15:38:33,-34.8206817912784,-58.528060368223855,0.0,8.428344821793551
2021-10-05,15:38:38,-34.82076009372522,-58.52765657681991,0.0,8.535418410767193
2021-10-05,15:38:43,-34.820841808324246,-58.5272380601004,0.0,8.625585643587105
2021-10-05,15:38:48,-34.82092929092783,-58.52679525978461,0.0,8.681940164099547
2021-10-05,15:38:53,-34.821024897388284,-58.52631861759179,0.0,8.687575616150792
2021-10-05,15:38:58,-34.82113098355797,-58.525798575241204,0.0,8.625585643587105
2021-10-05,15:39:03,-34.821249905289214,-58.52522557445211,0.0,8.47906389025475
2021-10-05,15:39:08,-34.821384018434344,-58.524590056943744,0.0,8.231104
2021-10-05,15:39:13,-34.821535107866985,-58.52388487599438,0.0,7.8689453005844765
2021-10-05,15:39:18,-34.82170267454591,-58.52311253111827,0.0,7.396409855431241
2021-10-05,15:39:23,-34.821885648451136,-58.52227793338865,0.0,6.8214654118787115
2021-10-05,15:39:28,-34.822082959562735,-58.52138599387875,0.0,6.152079717265306
2021-10-05,15:39:33,-34.82229353786074,-58.520441623661846,0.0,5.396220518929444
2021-10-05,15:39:38,-34.822516313325195,-58.51944973381115,0.0,4.5618555642095435
2021-10-05,15:39:43,-34.822750215936146,-58.51841523539993,0.0,3.6569526004440234
2021-10-05,15:39:48,-34.82299417567364,-58.51734303950141,0.0,2.689479374971302
2021-10-05,15:39:53,-34.823247122517714,-58.51623805718885,0.0,1.6674036351297985
2021-10-05,15:39:58,-34.82350798644842,-58.51510519953548,0.0,0.5986931282579304
2021-10-05,15:40:03,-34.823775697445804,-58.51394937761457,0.0,-0.5086843983058829
2021-10-05,15:40:08,-34.824049185489905,-58.51277550249933,0.0,-1.6467611972232246
2021-10-05,15:40:13,-34.824327380560774,-58.511588485263026,0.0,-2.8075695211556733
2021-10-05,15:40:18,-34.82460921263844,-58.51039323697889,0.0,-3.9831416227648138
2021-10-05,15:40:23,-34.82489361170297,-58.50919466872019,0.0,-5.165509754712223
2021-10-05,15:40:28,-34.82517950773439,-58.507997691560135,0.0,-6.346706169659487
2021-10-05,15:40:33,-34.82546583071276,-58.506807216572,0.0,-7.518763120268185
2021-10-05,15:40:38,-34.82575151061812,-58.50562815482901,0.0,-8.6737128591999
2021-10-05,15:40:43,-34.82603547743051,-58.50446541740441,0.0,-9.803587639116211
2021-10-05,15:40:48,-34.82631666112997,-58.50332391537146,0.0,-10.900419712678701
2021-10-05,15:40:53,-34.82659399169655,-58.502208559803385,0.0,-11.956241332548952
2021-10-05,15:40:58,-34.82686639911031,-58.50112426177344,0.0,-12.963084751388541
2021-10-05,15:41:03,-34.82713281335127,-58.50007593235486,0.0,-13.912982221859057
2021-10-05,15:41:08,-34.82739216439949,-58.499068482620906,0.0,-14.797965996622079
2021-10-05,15:41:13,-34.82764338223501,-58.498106823644804,0.0,-15.610068328339178
2021-10-05,15:41:18,-34.82788539683787,-58.49719586649981,0.0,-16.341321469671954
2021-10-05,15:41:23,-34.82811713818812,-58.49634052225917,0.0,-16.983757673281982
2021-10-05,15:41:28,-34.828337536265806,-58.4955457019961,0.0,-17.52940919183083
