Date,Time,Latitude,Longitude,Altitude (m),Speed (m/s)
2023-09-27,03:42:54,-33.400635007075145,-70.79775199105073,0.0,0.0
2023-09-27,03:44:34,-33.40084102041575,-70.79773702488572,0.0,0.0
2023-09-27,03:45:18,-33.4010539990584,-70.79777496173035,0.0,0.514444
2023-09-27,03:57:53,-33.39986798364182,-70.80013996690373,0.0,4.629996
2023-09-27,03:58:04,-33.39940303661679,-70.80015597343251,0.0,4.115552
2023-09-27,03:58:25,-33.39855201602559,-70.8002089828786,0.0,0.0
2023-09-27,03:58:49,-33.3974000032854,-70.80026999927775,0.0,0.0
2023-09-27,03:58:58,-33.39693502137033,-70.80028494967011,0.0,6.173328
2023-09-27,03:59:08,-33.39634298646723,-70.80032304188713,0.0,6.173328
2023-09-27,03:59:16,-33.39596899609238,-70.80033896346963,0.0,6.173328
2023-09-27,03:59:23,-33.39554200212317,-70.80036197746612,0.0,5.6588840000000005
2023-09-27,03:59:31,-33.395157002781204,-70.8003849636787,0.0,5.6588840000000005
2023-09-27,03:59:42,-33.394592008200966,-70.80041503233673,0.0,5.6588840000000005
2023-09-27,03:59:56,-33.39382903463361,-70.80045302160508,0.0,5.6588840000000005
2023-09-27,04:00:03,-33.39348199013453,-70.80046799123808,0.0,5.6588840000000005
2023-09-27,04:00:11,-33.39308500961518,-70.80049097925058,0.0,5.6588840000000005
2023-09-27,04:00:19,-33.39269301405882,-70.80051395704793,0.0,5.6588840000000005
2023-09-27,04:00:31,-33.39203999060971,-70.80055196743282,0.0,6.173328
2023-09-27,04:00:39,-33.391560011925435,-70.80057500054703,0.0,6.173328
2023-09-27,04:00:47,-33.39112899467758,-70.8006060020935,0.0,6.687772
2023-09-27,04:00:53,-33.39074295767777,-70.80062100623849,0.0,6.687772
2023-09-27,04:01:01,-33.390265998848264,-70.80065200028018,0.0,6.687772
2023-09-27,04:01:07,-33.38988500445856,-70.80065904060166,0.0,6.687772
2023-09-27,04:01:15,-33.389370028213065,-70.8006899591122,0.0,6.687772
2023-09-27,04:01:23,-33.3888820263981,-70.8007199617971,0.0,6.687772
2023-09-27,04:01:31,-33.38841197056696,-70.80074300851524,0.0,6.687772
2023-09-27,04:01:37,-33.38802301094831,-70.80077404690107,0.0,6.687772
2023-09-27,04:01:46,-33.38750804618818,-70.80078902221273,0.0,6.687772
2023-09-27,04:01:52,-33.387137982031135,-70.80081904500362,0.0,6.687772
2023-09-27,04:02:02,-33.38651300902558,-70.8008419499054,0.0,6.687772
2023-09-27,04:02:08,-33.38614702167771,-70.8008579671323,0.0,6.687772
2023-09-27,04:02:16,-33.38572301091689,-70.80088003079275,0.0,6.687772
2023-09-27,04:02:23,-33.38530002741364,-70.80091099158388,0.0,6.687772
2023-09-27,04:02:30,-33.38490300027928,-70.80092598706443,0.0,5.6588840000000005
2023-09-27,04:02:37,-33.38460197753596,-70.80094897957495,0.0,4.115552
2023-09-27,04:02:44,-33.38432701655046,-70.80094101909135,0.0,4.115552
2023-09-27,04:02:51,-33.38412100681019,-70.80075795401713,0.0,4.115552
2023-09-27,04:02:57,-33.38405203742451,-70.80052195868494,0.0,4.629996
2023-09-27,04:03:01,-33.384041016297225,-70.80030802586218,0.0,5.14444
2023-09-27,04:03:05,-33.38402902421462,-70.80007200864779,0.0,5.6588840000000005
2023-09-27,04:03:09,-33.38400701083094,-70.7998119805843,0.0,5.6588840000000005
2023-09-27,04:03:13,-33.38399500161472,-70.79955298736695,0.0,6.173328
2023-09-27,04:03:16,-33.38399498769323,-70.79933199063565,0.0,6.173328
2023-09-27,04:03:20,-33.38398401421689,-70.79908797631084,0.0,6.173328
2023-09-27,04:03:30,-33.38396100810447,-70.79844693995477,0.0,5.6588840000000005
2023-09-27,04:03:37,-33.38394900746385,-70.79807299561708,0.0,5.14444
2023-09-27,04:03:44,-33.38392600067361,-70.79766104611429,0.0,4.629996
2023-09-27,04:03:50,-33.383914986849355,-70.7973400139968,0.0,4.629996
2023-09-27,04:03:57,-33.383899997171966,-70.79698903813097,0.0,4.115552
2023-09-27,04:04:05,-33.38390000890757,-70.79663099676962,0.0,4.629996
2023-09-27,04:04:13,-33.38387697885675,-70.79624899279487,0.0,4.629996
2023-09-27,04:04:20,-33.383864991568835,-70.7958529556381,0.0,5.6588840000000005
2023-09-27,04:04:27,-33.383845985003454,-70.79537999515554,0.0,6.687772
2023-09-27,04:04:34,-33.383830983966696,-70.79484602290314,0.0,7.71666
2023-09-27,04:04:42,-33.38380098646687,-70.79408296056565,0.0,8.745548
2023-09-27,04:04:50,-33.3837620163038,-70.79330396925342,0.0,9.259992
2023-09-27,04:04:56,-33.38373898666296,-70.79266395554065,0.0,8.745548
2023-09-27,04:05:04,-33.383720003086346,-70.79205303384501,0.0,7.202216
2023-09-27,04:05:13,-33.38369796974908,-70.7913670240748,0.0,6.687772
2023-09-27,04:05:21,-33.3836629605348,-70.79074897207643,0.0,6.687772
2023-09-27,04:05:27,-33.38364396996752,-70.79033698909498,0.0,6.173328
2023-09-27,04:05:34,-33.38362897171584,-70.78992500487331,0.0,5.6588840000000005
2023-09-27,04:05:40,-33.38359799827894,-70.78958097057952,0.0,6.173328
2023-09-27,04:05:45,-33.38349204812531,-70.78922302195564,0.0,5.6588840000000005
2023-09-27,04:05:50,-33.38338901455201,-70.78899403629161,0.0,5.6588840000000005
2023-09-27,04:05:54,-33.383285998917394,-70.78877300403401,0.0,5.14444
2023-09-27,04:05:59,-33.38310999513862,-70.78855897691737,0.0,5.14444
2023-09-27,04:06:06,-33.382850971873225,-70.78846702833509,0.0,4.115552
