Date,Time,Latitude,Longitude,Altitude (m),Speed (m/s)
2022-10-02,05:17:52,-33.40649000449509,-70.78507998449055,480.06,98.773248
2022-10-02,05:17:59,-33.412726975865866,-70.78491203890346,556.26,98.773248
2022-10-02,05:18:07,-33.42022697694149,-70.78463701297149,647.7,100.831024
2022-10-02,05:18:15,-33.42757804082071,-70.78429401661118,746.76,100.831024
2022-10-02,05:18:22,-33.43395597880936,-70.78407301998676,830.58,100.31658
2022-10-02,05:18:31,-33.4419709702995,-70.7837070505432,906.7800000000001,100.31658
2022-10-02,05:18:38,-33.448249994832544,-70.78340104027066,952.5,101.345468
2022-10-02,05:18:46,-33.45533806111176,-70.78309601569468,998.22,102.8888
2022-10-02,05:18:52,-33.461884015184125,-70.78276801341669,1043.94,103.917688
2022-10-02,05:18:59,-33.468356992848506,-70.78250095621759,1089.66,104.94657600000001
2022-10-02,05:19:06,-33.474976022035634,-70.78221903540417,1120.14,107.004352
2022-10-02,05:19:13,-33.48106399141652,-70.78194403764267,1143.0,109.062128
2022-10-02,05:19:22,-33.490356045389106,-70.78150899631389,1173.48,114.206568
2022-10-02,05:19:28,-33.49712796988123,-70.78121198022777,1203.96,116.778788
2022-10-02,05:19:35,-33.504730018534154,-70.78112004305841,1219.2,120.379896
2022-10-02,05:19:38,-33.50802599515702,-70.78144797274324,1226.8200000000002,121.92322800000001
2022-10-02,05:19:42,-33.512421013560456,-70.78233298962495,1242.0600000000002,123.981004
2022-10-02,05:19:46,-33.51556401244459,-70.78323403124332,1249.68,125.524336
2022-10-02,05:19:49,-33.519790948308,-70.78496598049658,1264.92,127.58211200000001
2022-10-02,05:19:53,-33.523589970273335,-70.78705602849334,1272.54,128.611
2022-10-02,05:19:57,-33.52729401842739,-70.78978695594049,1287.78,130.154332
2022-10-02,05:20:01,-33.531158001971484,-70.7935409981044,1303.02,132.212108
2022-10-02,05:20:04,-33.533810005692025,-70.79690605157977,1318.26,133.240996
2022-10-02,05:20:07,-33.536223974407186,-70.80067405343145,1333.5,134.269884
2022-10-02,05:20:11,-33.53855904160662,-70.80537403514504,1341.1200000000001,136.32766
2022-10-02,05:20:14,-33.54037502167599,-70.81025699613836,1356.3600000000001,137.870992
2022-10-02,05:20:18,-33.54153801751036,-70.81512497122718,1371.6000000000001,139.414324
2022-10-02,05:20:21,-33.54228198979399,-70.82022099191695,1394.46,140.95765600000001
2022-10-02,05:20:24,-33.542563993416536,-70.8247990107642,1409.7,141.986544
2022-10-02,05:20:26,-33.54261000955532,-70.82754502422752,1417.3200000000002,141.986544
2022-10-02,05:20:30,-33.542542037993314,-70.83294695816969,1447.8000000000002,143.529876
2022-10-02,05:20:33,-33.54242294859262,-70.83835602726079,1478.28,144.04432
2022-10-02,05:20:38,-33.54233201225663,-70.84585602315657,1508.76,145.073208
2022-10-02,05:20:41,-33.542313038557,-70.85071596061809,1539.24,146.10209600000002
2022-10-02,05:20:45,-33.54223600689461,-70.85626203415231,1562.1000000000001,146.61654000000001
2022-10-02,05:20:48,-33.54219100437091,-70.8619310115501,1592.5800000000002,147.130984
2022-10-02,05:20:59,-33.54194599550037,-70.8787460454373,1684.02,149.18876
2022-10-02,05:21:12,-33.54157997200247,-70.9006579873962,1805.94,150.217648
2022-10-02,05:21:25,-33.5411679777455,-70.92201996640665,1958.3400000000001,150.217648
2022-10-02,05:21:39,-33.54093596905593,-70.94346598643168,2095.5,149.703204
2022-10-02,05:21:46,-33.54195795942052,-70.95474198081568,2156.46,151.246536
2022-10-02,05:21:49,-33.54316697963289,-70.95977800008545,2179.32,152.27542400000002
2022-10-02,05:21:52,-33.54496800222496,-70.96517900923448,2209.8,153.304312
2022-10-02,05:21:56,-33.54693601963783,-70.96955094293722,2240.28,154.3332
2022-10-02,05:21:59,-33.54996504471901,-70.9749450212938,2270.76,155.362088
2022-10-02,05:22:02,-33.552666020249724,-70.97883598910339,2293.62,156.390976
2022-10-02,05:22:06,-33.556014996166276,-70.98289495197953,2324.1,156.390976
2022-10-02,05:22:09,-33.559433003208085,-70.98625198052035,2354.58,157.419864
2022-10-02,05:22:12,-33.56295799885014,-70.98916603690239,2377.44,158.448752
2022-10-02,05:22:15,-33.56712298925586,-70.99208101880767,2407.92,158.448752
2022-10-02,05:22:19,-33.57174697607208,-70.99494205558295,2446.02,158.963196
2022-10-02,05:22:22,-33.576370006795784,-70.99774204472646,2476.5,159.47764
2022-10-02,05:22:25,-33.5800859904396,-71.00000002586506,2499.36,159.992084
2022-10-02,05:22:29,-33.58511401068071,-71.00301399340314,2537.46,159.992084
2022-10-02,05:22:32,-33.58934797534126,-71.00561494377791,2567.94,159.992084
2022-10-02,05:22:36,-33.59440595861705,-71.00862101359887,2606.04,160.506528
2022-10-02,05:22:47,-33.60861998953063,-71.0170589642161,2705.1,161.535416
2022-10-02,05:22:58,-33.62269602717565,-71.02537501507447,2788.92,163.078748
2022-10-02,05:23:08,-33.63670298485071,-71.03373001139333,2872.7400000000002,164.107636
2022-10-02,05:23:22,-33.655426000795025,-71.04488397803068,2979.42,166.165412
2022-10-02,05:23:37,-33.67463296765101,-71.05642701191783,3093.7200000000003,167.708744
2022-10-02,05:23:47,-33.68907199856247,-71.06511694298815,3131.82,171.824296
2022-10-02,05:23:59,-33.705264988509214,-71.07496594911633,3169.92,176.454292
2022-10-02,05:24:10,-33.721527040970955,-71.08484595088552,3215.6400000000003,180.56984400000002
2022-10-02,05:24:21,-33.737572011645085,-71.09465003447978,3261.36,184.685396
2022-10-02,05:24:34,-33.75707595794716,-71.10655205477536,3314.7000000000003,188.286504
2022-10-02,05:24:46,-33.77568105811298,-71.11792001747457,3360.42,192.40205600000002
2022-10-02,05:24:59,-33.79637102942696,-71.13053096064934,3413.76,197.032052
2022-10-02,05:25:10,-33.81349601573818,-71.14093796791566,3459.48,199.604272
2022-10-02,05:25:21,-33.83047496905562,-71.151328948973,3512.82,202.690936
2022-10-02,05:25:35,-33.854141006181706,-71.1658480031179,3581.4,206.292044
2022-10-02,05:25:46,-33.871857033800396,-71.1767199676084,3627.1200000000003,208.864264
2022-10-02,05:25:59,-33.895103010485016,-71.19094798520138,3688.0800000000004,212.979816
2022-10-02,05:26:30,-33.94711303165998,-71.22273999944831,3817.6200000000003,219.153144
2022-10-02,05:27:03,-34.00729399231398,-71.25944503885525,4015.7400000000002,223.78314
2022-10-02,05:27:35,-34.06393401603441,-71.29420500679797,4236.72,226.35536000000002
2022-10-02,05:28:08,-34.1256749901251,-71.33216902028073,4488.18,227.384248
2022-10-02,05:28:41,-34.186066003588884,-71.3693159581453,4709.16,229.442024
2022-10-02,05:29:15,-34.248622980232675,-71.40798998116303,4945.38,230.470912
2022-10-02,05:29:46,-34.30664098241424,-71.4438099791389,5158.740000000001,231.4998
2022-10-02,05:30:20,-34.36937698812465,-71.4824830308785,5372.1,232.52868800000002
2022-10-02,05:30:52,-34.42790198880077,-71.5187000133308,5684.52,227.898692
2022-10-02,05:31:52,-34.53996303703488,-71.5883709397688,6004.56,230.470912
2022-10-02,05:32:56,-34.65809599962348,-71.66187296107526,6301.740000000001,234.586464
2022-10-02,05:33:57,-34.773776985139385,-71.73408498923958,6591.3,237.158684
2022-10-02,05:35:00,-34.89281097586921,-71.80863997816994,6880.860000000001,239.730904
2022-10-02,05:36:03,-35.01501097681382,-71.88543697110157,7155.18,240.759792
2022-10-02,05:37:06,-35.13581496983174,-71.96153305488487,7391.400000000001,242.817568
2022-10-02,05:38:10,-35.26257700303661,-72.04161801686764,7597.14,245.904232
2022-10-02,05:39:11,-35.38221401802717,-72.11770602164691,7764.780000000001,247.962008
2022-10-02,05:40:14,-35.50920897395335,-72.19869995723725,7932.42,251.048672
2022-10-02,05:41:16,-35.63200400179444,-72.27733599291741,8107.68,252.592004
2022-10-02,05:42:17,-35.75607698653208,-72.35689500413355,8290.560000000001,253.620892
2022-10-02,05:43:18,-35.878464039223026,-72.43577595844789,8587.74,251.048672
2022-10-02,05:44:20,-36.00105297268693,-72.5204089862983,8831.58,249.50534000000002
2022-10-02,05:45:22,-36.121741983100506,-72.60525505209148,9044.94,250.534228
2022-10-02,05:46:23,-36.241286994975034,-72.68909499045823,9273.54,250.01978400000002
2022-10-02,05:47:27,-36.364746004661015,-72.77589403907645,9585.960000000001,245.904232
2022-10-02,05:48:28,-36.482849021448274,-72.85928296618633,9814.560000000001,244.875344
2022-10-02,05:49:31,-36.602859012189086,-72.94425200398295,10035.54,243.84645600000002
2022-10-02,05:50:35,-36.725692967622,-73.03201303912105,10058.4,243.84645600000002
2022-10-02,05:51:36,-36.82809399271822,-73.13907599628966,10058.4,242.303124
2022-10-02,05:52:39,-36.926788025895455,-73.25665995474449,10050.78,242.303124
2022-10-02,05:53:40,-37.023834016456,-73.37260402981255,10050.78,243.332012
2022-10-02,05:54:43,-37.12177997897489,-73.49005899234862,10058.4,242.303124
2022-10-02,05:55:45,-37.21884198517136,-73.60687997421333,10058.4,241.274236
2022-10-02,05:56:50,-37.320697960222844,-73.72990399837978,10058.4,240.245348
