Date,Time,Latitude,Longitude,Altitude (m),Speed (m/s)
2022-09-27,00:13:33,-33.94088699914254,151.1745609560902,7.62,93.628808
2022-09-27,00:13:40,-33.93539399812362,151.1731570060101,45.72,97.74436
2022-09-27,00:13:46,-33.93029796499953,151.17181395041493,106.68,98.258804
2022-09-27,00:13:52,-33.92514000515067,151.17047101335078,167.64000000000001,99.287692
2022-09-27,00:13:58,-33.919509965630105,151.16896098729765,243.84,99.287692
2022-09-27,00:14:04,-33.91424596563537,151.1674960137455,327.66,99.802136
2022-09-27,00:14:10,-33.909026967359466,151.16526798656966,403.86,98.773248
2022-09-27,00:14:13,-33.90702101013565,151.1640320287054,434.34000000000003,98.773248
2022-09-27,00:14:16,-33.90518197682796,151.16256698539658,457.20000000000005,98.773248
2022-09-27,00:14:19,-33.90248102297335,151.1597139413668,480.06,100.31658
2022-09-27,00:14:22,-33.90065002664568,151.15730297644978,502.92,100.831024
2022-09-27,00:14:25,-33.89918500409262,151.1549989737001,518.1600000000001,102.374356
2022-09-27,00:14:28,-33.89752600809078,151.15219101815094,548.64,102.8888
2022-09-27,00:14:31,-33.895756015122316,151.14904798265857,571.5,103.403244
2022-09-27,00:14:34,-33.89424102036007,151.14625497391,586.74,104.94657600000001
2022-09-27,00:14:37,-33.8929630165963,151.14388995139984,601.98,106.489908
2022-09-27,00:14:40,-33.89114804277363,151.1405790367492,617.22,108.03324
2022-09-27,00:14:43,-33.88952601033733,151.13751197462148,647.7,108.547684
2022-09-27,00:14:46,-33.88784002627155,151.13439894351143,662.94,110.091016
2022-09-27,00:14:49,-33.88611999311907,151.13119498538157,685.8000000000001,110.60546000000001
2022-09-27,00:14:52,-33.88476601829852,151.12860096937973,701.0400000000001,112.663236
2022-09-27,00:14:59,-33.88067194889297,151.12094099707895,731.52,116.778788
2022-09-27,00:15:06,-33.87684601672002,151.11369302367677,784.86,119.35100800000001
2022-09-27,00:15:12,-33.87350498756815,151.10739097852502,815.34,122.437672
2022-09-27,00:15:18,-33.86973196534033,151.10029598248354,845.82,126.553224
2022-09-27,00:15:25,-33.86494404468266,151.09121701709896,891.5400000000001,130.154332
2022-09-27,00:15:31,-33.86151099660778,151.08471698389303,944.88,132.212108
2022-09-27,00:15:37,-33.85766600358154,151.0774839835418,1013.46,132.726552
2022-09-27,00:15:43,-33.85362597509177,151.0697330418789,1074.42,134.78432800000002
2022-09-27,00:15:49,-33.849762036104934,151.06230199710353,1150.6200000000001,135.298772
2022-09-27,00:15:55,-33.84585197488937,151.0548099877347,1219.2,135.813216
2022-09-27,00:16:02,-33.84203301834331,151.04759202580684,1303.02,135.813216
2022-09-27,00:16:07,-33.83821497115594,151.04043602952285,1379.22,135.813216
2022-09-27,00:16:14,-33.83374803918088,151.0320280017497,1478.28,134.78432800000002
2022-09-27,00:16:21,-33.829277040603806,151.0234379781494,1600.2,132.726552
2022-09-27,00:16:32,-33.8239250421634,151.00874301137986,1767.8400000000001,132.726552
2022-09-27,00:16:35,-33.82315100839182,151.0046690272434,1798.3200000000002,134.78432800000002
2022-09-27,00:16:39,-33.822417975440175,150.9982760251443,1836.42,135.813216
2022-09-27,00:16:42,-33.8220519783976,150.99357601784934,1866.9,136.842104
2022-09-27,00:16:45,-33.821822973743316,150.98908998393,1897.38,137.356548
2022-09-27,00:16:48,-33.82164402825281,150.98481803052223,1935.48,137.870992
2022-09-27,00:16:51,-33.82145701193816,150.98030102984,1965.96,137.870992
2022-09-27,00:16:54,-33.82127401751609,150.97540304561343,2011.68,137.870992
2022-09-27,00:17:06,-33.82066702264124,150.9577639734019,2164.08,138.385436
2022-09-27,00:17:19,-33.82173199862686,150.93914796989236,2278.38,141.4721
2022-09-27,00:17:22,-33.82232701559778,150.93493702573866,2316.48,141.986544
2022-09-27,00:17:25,-33.823104985278256,150.93074005403983,2354.58,141.4721
2022-09-27,00:17:28,-33.82429898111331,150.925536987437,2392.6800000000003,142.500988
2022-09-27,00:17:31,-33.82546203569142,150.92147799479557,2423.1600000000003,142.500988
