Model Type: GRU, GRU Units: 32, BiGRU Units: 0, Last Layer Type: None, Num Layers: 1, Avg Train MSE: 1.7423591045685646e-05, Avg Test MSE: 0.0005425016159644528
Model Type: GRU, GRU Units: 32, BiGRU Units: 0, Last Layer Type: None, Num Layers: 2, Avg Train MSE: 1.8903580943828916e-05, Avg Test MSE: 0.0008793987893506071
Model Type: GRU, GRU Units: 32, BiGRU Units: 0, Last Layer Type: None, Num Layers: 3, Avg Train MSE: 2.2194006802363856e-05, Avg Test MSE: 0.00040653831133157555
Model Type: GRU, GRU Units: 64, BiGRU Units: 0, Last Layer Type: None, Num Layers: 1, Avg Train MSE: 3.18322757168775e-05, Avg Test MSE: 0.0004964695863573921
Model Type: GRU, GRU Units: 64, BiGRU Units: 0, Last Layer Type: None, Num Layers: 2, Avg Train MSE: 1.9550627876322953e-05, Avg Test MSE: 0.00010623931883681888
Model Type: GRU, GRU Units: 64, BiGRU Units: 0, Last Layer Type: None, Num Layers: 3, Avg Train MSE: 4.2436280174484184e-05, Avg Test MSE: 0.000581530456150421
Model Type: GRU, GRU Units: 128, BiGRU Units: 0, Last Layer Type: None, Num Layers: 1, Avg Train MSE: 2.205982691744789e-05, Avg Test MSE: 0.00015193677695017437
Model Type: GRU, GRU Units: 128, BiGRU Units: 0, Last Layer Type: None, Num Layers: 2, Avg Train MSE: 3.083926219895305e-05, Avg Test MSE: 0.00012590735421250736
Model Type: GRU, GRU Units: 128, BiGRU Units: 0, Last Layer Type: None, Num Layers: 3, Avg Train MSE: 2.387476988774392e-05, Avg Test MSE: 0.0001593098993211922
Model Type: BiGRU, GRU Units: 0, BiGRU Units: 32, Last Layer Type: None, Num Layers: 1, Avg Train MSE: 2.068328929915405e-05, Avg Test MSE: 0.0012602370803037502
Model Type: BiGRU, GRU Units: 0, BiGRU Units: 32, Last Layer Type: None, Num Layers: 2, Avg Train MSE: 1.97977541041552e-05, Avg Test MSE: 0.0008137141414631596
Model Type: BiGRU, GRU Units: 0, BiGRU Units: 32, Last Layer Type: None, Num Layers: 3, Avg Train MSE: 3.874470213755981e-05, Avg Test MSE: 0.0007469523471571886
Model Type: BiGRU, GRU Units: 0, BiGRU Units: 64, Last Layer Type: None, Num Layers: 1, Avg Train MSE: 3.3512084223714144e-05, Avg Test MSE: 0.0006397425349207089
Model Type: BiGRU, GRU Units: 0, BiGRU Units: 64, Last Layer Type: None, Num Layers: 2, Avg Train MSE: 2.6011642348057193e-05, Avg Test MSE: 0.0003705057404377712
