Latitude,Longitude,Altitude (m)
-33.488274,136.0308,2930.2668
-33.521725,136.17036,2977.367
-33.554058,136.26324,3011.0518
-33.586678,136.34517,3031.948
-33.603554,136.35786,3068.302
-33.60659,136.36255,3129.3652
-33.614937,136.42957,3189.4382
-33.61796,136.46242,3261.6562
-33.633614,136.5561,3320.1465
-33.646908,136.6037,3380.9841
-33.661297,136.66154,3442.5393
-33.67818,136.72668,3500.817
-33.69709,136.79068,3554.9548
-33.719017,136.85712,3602.252
-33.745823,136.92856,3637.5151
-33.772514,136.9794,3666.5535
-33.79358,137.00508,3700.3013
-33.805416,137.0127,3749.617
-33.804707,137.00592,3826.846
-33.807083,137.05649,3912.3843
-33.814384,137.12277,3998.8484
-33.824265,137.18712,4088.1606
-33.834682,137.25008,4183.343
-33.85193,137.34154,4272.982
-33.87419,137.43262,4354.903
-33.890766,137.48602,4446.1626
-33.907635,137.5599,4541.2954
-33.931763,137.66226,4625.9644
-33.955612,137.73875,4708.4844
-33.975834,137.80026,4796.993
-33.99764,137.87976,4884.6465
-34.026554,137.9809,4959.0864
-34.049755,138.034,5038.936
-34.067097,138.08113,5130.832
-34.08853,138.16458,5219.5312
-34.1087,138.22943,5310.605
-34.127533,138.29213,5406.395
-34.151085,138.37845,5496.1743
-34.176632,138.45654,5580.7373
-34.205505,138.53908,5656.889
-34.234234,138.60762,5728.6187
-34.255104,138.64268,5811.3022
-34.273064,138.69153,5902.137
-34.294834,138.76558,5989.315
-34.31952,138.83755,6071.197
-34.347076,138.90977,6146.4673
-34.376053,138.97676,6215.922
-34.405037,139.03706,6281.395
-34.433098,139.09123,6344.695
-34.45796,139.13283,6410.9395
-35.85459,149.01045,7095.2134
-35.436516,151.44789,6782.4346
-34.776184,153.84561,6672.894
-34.756195,152.87007,6742.613
-34.880833,151.8681,6816.176
-34.911823,151.61903,6864.8955
-34.87869,151.62372,6895.396
-34.848763,151.62244,6958.4746
-34.884563,151.66592,7015.4556
-34.891766,151.71965,7085.957
-34.924038,151.68494,7153.838
-34.926258,151.61229,7240.8223
-34.9471,151.59523,7328.321
-34.968525,151.55309,7408.9067
-34.991745,151.51645,7479.0605
-35.03104,151.5374,7535.0176
-35.06911,151.55402,7582.1543
-35.102924,151.56255,7636.7754
-35.142555,151.58864,7697.264
-35.179966,151.51996,7752.262
-35.221375,151.47331,7820.8003
-35.24597,151.47176,7888.582
-35.283607,151.45607,7945.29
-35.320274,151.41058,7996.7295
-35.344402,151.36668,8045.53
-35.383484,151.3638,8096.4844
-35.41678,151.33081,8153.016
-35.447144,151.2832,8195.137
-35.479214,151.23366,8238.162
-35.519997,151.24893,8276.343
-35.550793,151.20807,8319.448
-35.56485,151.15155,8361.288
-35.550304,151.0955,8411.266
-35.57638,151.06969,8457.302
-35.66624,151.08093,8480.469
-35.65889,151.0228,8534.241
-35.71262,150.96992,8583.4
-35.863644,150.96649,8611.764
-35.711056,150.85457,8726.233
-35.87957,150.8622,8743.634
-35.716908,150.74744,8855.7705
-35.785736,150.76358,8892.223
-35.888,150.77386,8915.636
-35.880768,150.72295,8970.473
-35.942467,150.68729,9010.376
-36.124897,150.68402,9026.309
-35.881268,150.5333,9170.165
-36.0323,150.55849,9192.458
-35.953228,150.48112,9282.765
-36.044003,150.47636,9326.901
-36.13227,150.53049,9348.926
-36.22465,150.58363,9340.846
-36.230095,150.57387,9347.443
-36.15202,150.49944,9373.26
-36.277218,150.52048,9340.138
-36.50554,150.58946,9279.603
-36.104435,150.3901,9406.714
-36.37084,150.51323,9341.159
-36.295025,150.48236,9373.618
-36.390373,150.45625,9351.325
-36.385185,150.44835,9367.975
-36.418022,150.49286,9374.584
-36.491478,150.49158,9360.251
-36.94601,150.59236,9230.166
-36.601635,150.42679,9340.648
-36.589096,150.34691,9351.603
-36.6172,150.30867,9354.316
-36.624146,150.31992,9368.114
-36.615025,150.32193,9383.743
-36.61376,150.3224,9398.707
-36.6197,150.32518,9409.563
-36.611343,150.26079,9417.172
-36.5968,150.21292,9439.267
-36.586067,150.22504,9458.754
-36.589714,150.18912,9464.46
-36.630623,150.17896,9463.31
-36.673157,150.20267,9467.686
-36.678825,150.15353,9468.415
-36.713955,150.16951,9472.002
-36.731693,150.11902,9468.715
-36.82519,150.16934,9457.57
-36.884773,150.14609,9445.412
-36.82913,150.11975,9474.721
-36.779366,150.10188,9499.131
-36.84654,150.0806,9481.5
-37.12392,150.1859,9412.448
-36.690746,150.05836,9558.166
-36.993576,150.14835,9473.454
-36.862625,150.0857,9519.194
-36.895084,150.09027,9519.644
-36.93909,150.07845,9516.257
-36.946262,150.04694,9521.806
-36.981148,150.04285,9524.13
-37.06263,150.05038,9510.412
-37.11261,150.07195,9507.213
-37.025394,150.06783,9545.71
-37.018238,150.0385,9555.772
-37.171673,150.05391,9517.451
-37.234894,150.05444,9514.457
-37.12116,150.02023,9571.535
-36.948044,149.90729,9631.027
-36.99997,149.85364,9618.446
-37.063087,149.84033,9610.416
-37.064865,149.80655,9619.604
-37.093056,149.78586,9621.225
-37.12251,149.78514,9621.073
-37.14077,149.78268,9621.874
-37.16039,149.7664,9621.895
-37.179707,149.75049,9622.591
-37.183224,149.7433,9629.943
-37.130165,149.72115,9654.027
-37.019646,149.67601,9693.479
-37.395634,149.73369,9580.663
-37.229294,149.68898,9639.82
-37.35907,149.7014,9603.584
-37.32958,149.67659,9617.989
-37.34408,149.6653,9620.468
-37.380318,149.65947,9615.8
-37.37934,149.63893,9621.323
-37.301975,149.61012,9649.822
-37.220146,149.575,9683.688
-37.595337,149.62341,9574.571
-37.4563,149.61195,9624.5
-37.535892,149.61148,9603.94
-37.534985,149.56343,9608.598
-37.564575,149.55118,9606.354
-37.568398,149.55443,9611.404
-37.60405,149.54727,9604.902
-37.616173,149.52153,9607.067
-37.596184,149.50261,9619.262
-37.45128,149.46223,9671.813
-37.672398,149.4874,9606.7
-37.66788,149.47206,9614.04
-37.793213,149.46727,9580.662
-37.708427,149.43372,9615.383
-37.79915,149.43202,9592.73
-37.778282,149.42366,9603.504
-37.826717,149.41273,9592.588
-37.83246,149.38647,9598.87
-37.838623,149.38329,9602.07
