Latitude,Longitude,Altitude (m)
-34.236595,136.1849,3730.8684
-34.278652,136.23956,3746.6077
-34.312664,136.24605,3767.9163
-34.343884,136.27333,3776.104
-34.345085,136.25078,3834.2427
-34.32754,136.2698,3921.8955
-34.333138,136.33943,3974.0251
-34.33198,136.33871,4056.7085
-34.35488,136.40834,4091.564
-34.368374,136.39644,4153.541
-34.37975,136.42645,4211.991
-34.39579,136.45369,4263.4834
-34.414776,136.47585,4310.4517
-34.43775,136.49995,4347.7793
-34.4679,136.52458,4367.8975
-34.494534,136.52829,4390.301
-34.508575,136.52586,4430.043
-34.507553,136.52667,4496.3843
-34.489197,136.53079,4602.2827
-34.48615,136.59152,4689.0757
-34.496284,136.62653,4769.628
-34.50733,136.65152,4856.0464
-34.514847,136.67741,4952.365
-34.53337,136.72752,5029.705
-34.558502,136.75862,5098.966
-34.567886,136.76173,5198.641
-34.577568,136.80669,5293.522
-34.60361,136.86008,5361.576
-34.626747,136.87437,5439.2036
-34.639492,136.89384,5531.73
-34.656246,136.93706,5614.5474
-34.687923,136.98521,5670.263
-34.705753,136.98065,5755.153
-34.710823,137.00337,5857.8643
-34.728157,137.05872,5938.375
-34.745148,137.07565,6028.9585
-34.75814,137.10292,6126.0825
-34.78048,137.14914,6204.4883
-34.80576,137.17262,6279.9487
-34.834347,137.20401,6343.544
-34.86031,137.21985,6408.49
-34.869976,137.21799,6502.5576
-34.876713,137.25018,6599.7686
-34.89582,137.29492,6678.8247
-34.921272,137.32124,6750.9766
-34.948982,137.34738,6815.324
-34.97645,137.3675,6875.697
-35.001995,137.38484,6934.801
-35.025284,137.4012,6994.08
-35.043167,137.41125,7062.25
-34.821575,151.16006,6685.689
-34.83004,151.11581,6751.2974
-34.943695,151.09792,6783.3384
-34.6819,151.04889,6920.028
-35.353325,151.07812,6821.596
-35.517212,151.04773,6818.618
-35.655766,150.99829,6851.698
-35.920746,150.92174,6854.3022
-35.961388,150.89148,6944.746
-36.161007,150.9201,6952.568
-36.399536,150.83762,6987.0137
-36.412113,150.80278,7092.2837
-36.691765,150.80756,7115.6895
-36.652428,150.77351,7202.616
-36.35064,150.6888,7346.381
-36.932564,150.73976,7265.596
-36.78313,150.66867,7350.421
-37.265114,150.61151,7308.319
-37.576744,150.59334,7280.064
-37.43803,150.47029,7393.165
-37.48093,150.42822,7474.0713
-37.549057,150.35661,7508.604
-37.691273,150.31561,7521.165
-37.68132,150.2311,7579.2397
-37.907116,149.54997,7467.459
-37.88968,149.53441,7517.0254
-37.853508,149.46375,7580.8047
-37.82143,149.32399,7637.04
-37.843853,149.2805,7690.7847
-37.86769,149.30977,7709.906
-37.889988,149.23445,7744.9253
-37.885914,148.86055,7768.648
-37.906033,148.86328,7816.6567
-37.914265,148.86461,7851.204
-37.935787,148.73796,7888.403
-37.97408,148.67969,7933.5654
-37.966927,148.63982,8004.594
-38.04608,148.49174,8060.8745
-38.046585,148.2997,8096.811
-38.00372,148.03214,8144.905
-37.998814,147.88008,8209.435
-38.025375,147.90277,8242.955
-38.039738,147.8856,8275.328
-38.07459,147.75851,8311.551
-38.09104,147.66666,8366.841
-38.10354,147.48209,8434.724
-38.069874,147.26122,8494.136
-38.07098,147.19543,8552.641
-38.091057,147.10841,8611.862
-38.123,147.0745,8668.7295
-38.17841,147.04175,8667.307
-38.22494,146.98404,8636.301
-38.144203,146.85004,8613.442
-38.087563,146.7477,8631.349
-38.07569,146.78249,8643.885
-38.05246,146.83939,8649.951
-38.028107,146.40945,8625.598
-38.007,146.57597,8621.438
-37.97068,146.62222,8634.374
-37.87746,146.61618,8678.489
-37.84531,146.72697,8708.97
-37.80583,146.84999,8719.586
-37.752888,146.91522,8749.045
-37.715046,147.00186,8771.833
-37.66773,147.08607,8793.405
-37.637566,147.13338,8822.3125
-37.607,147.17772,8852.646
-37.728848,147.4967,8870.059
-37.53269,147.22496,8893.815
-37.51535,147.28773,8912.471
-37.436333,147.28279,8917.887
-37.3756,147.3393,8953.554
-37.35236,147.39848,8993.632
-37.33441,147.50584,9004.739
-37.31471,147.56195,9024.956
-37.296837,147.61853,9050.304
-37.25975,147.66443,9059.56
-37.190716,147.69333,9085.796
-37.174736,147.7696,9093.098
-37.14859,147.83221,9118.452
-37.14337,147.91034,9131.307
-37.13386,147.94273,9150.663
-37.12565,147.97968,9168.444
-37.1046,148.0304,9175.273
-37.06634,148.0939,9200.194
-37.057888,148.18414,9222.34
-37.046875,148.28004,9240.907
-37.023823,148.38774,9252.962
-36.985367,148.46237,9276.924
-37.065125,148.79955,9300.458
-36.91432,148.60474,9328.294
-36.88624,148.67105,9356.502
-36.864,148.7574,9386.176
-36.84115,148.81183,9407.895
-36.81939,148.93153,9434.925
-36.800655,149.05998,9448.124
-36.770393,149.14513,9475.151
-36.74024,149.23283,9511.793
