Latitude,Longitude,Altitude (m)
-34.236595,136.1849,3730.8684
-34.278652,136.23956,3746.6077
-34.312664,136.24605,3767.9163
-34.343884,136.27333,3776.104
-34.345085,136.25078,3834.2427
-34.32754,136.2698,3921.8955
-34.333138,136.33943,3974.0251
-34.33198,136.33871,4056.7085
-34.35488,136.40834,4091.564
-34.368374,136.39644,4153.541
-34.37975,136.42645,4211.991
-34.39579,136.45369,4263.4834
-34.414776,136.47585,4310.4517
-34.43775,136.49995,4347.7793
-34.4679,136.52458,4367.8975
-34.494534,136.52829,4390.301
-34.508575,136.52586,4430.043
-34.507553,136.52667,4496.3843
-34.489197,136.53079,4602.2827
-34.48615,136.59152,4689.0757
-34.496284,136.62653,4769.628
-34.50733,136.65152,4856.0464
-34.514847,136.67741,4952.365
-34.53337,136.72752,5029.705
-34.558502,136.75862,5098.966
-34.567886,136.76173,5198.641
-34.577568,136.80669,5293.522
-34.60361,136.86008,5361.576
-34.626747,136.87437,5439.2036
-34.639492,136.89384,5531.73
-34.656246,136.93706,5614.5474
-34.687923,136.98521,5670.263
-34.705753,136.98065,5755.153
-34.710823,137.00337,5857.8643
-34.728157,137.05872,5938.375
-34.745148,137.07565,6028.9585
-34.75814,137.10292,6126.0825
-34.78048,137.14914,6204.4883
-34.80576,137.17262,6279.9487
-34.834347,137.20401,6343.544
-34.86031,137.21985,6408.49
-34.869976,137.21799,6502.5576
-34.876713,137.25018,6599.7686
-34.89582,137.29492,6678.8247
-34.921272,137.32124,6750.9766
-34.948982,137.34738,6815.324
-34.97645,137.3675,6875.697
-35.001995,137.38484,6934.801
-35.025284,137.4012,6994.08
-35.043167,137.41125,7062.25
-35.24274,146.26413,6946.256
-34.626957,152.26358,6695.165
-34.684757,152.08167,6768.15
-34.91452,150.41759,6940.2104
-34.93223,150.67656,6959.0127
-34.994938,151.15804,6917.782
-34.933796,151.50006,7024.3003
-34.981674,151.08362,7048.404
-35.099827,151.1982,7151.4863
-35.04514,151.14565,7220.3906
-35.030846,151.00288,7296.931
-35.06648,151.03278,7405.7524
-35.10153,151.06978,7488.4727
-35.136,151.0499,7557.0327
-35.134342,151.03903,7623.8955
-35.15023,151.05208,7668.7983
-35.23248,151.03711,7700.1533
-35.258434,150.99721,7767.1494
-35.344048,151.0103,7811.509
-35.419624,150.9789,7873.8545
-35.410103,150.95448,7967.3984
-35.441917,150.97104,8023.879
-35.469486,150.96422,8069.7344
-35.513985,150.94243,8115.8545
-35.5212,150.92804,8181.7725
-35.591312,150.93256,8218.605
-35.722588,150.90149,8232.512
-35.561394,150.8769,8323.962
-35.68137,150.85521,8366.3
-35.82822,150.89014,8350.54
-35.730183,150.81293,8398.739
-35.72916,150.79703,8481.344
-35.96631,150.81819,8485.909
-35.919388,150.7812,8506.9
-35.829388,150.75172,8582.141
-36.045338,150.72768,8599.387
-35.927967,150.67987,8675.797
-36.081642,150.66519,8732.26
-35.973316,150.66295,8821.166
-36.22363,150.65508,8825.882
-35.901134,150.64778,8993.489
-36.157207,150.64742,8949.959
-36.31753,150.62405,8938.988
-36.310825,150.57193,9003.939
-36.205254,150.53468,9084.616
-36.20512,150.51337,9174.561
-36.28802,150.51047,9229.495
-36.309017,150.52344,9283.765
-36.3731,150.49803,9339.603
-36.311714,150.48524,9406.432
-36.560093,150.51097,9370.415
-36.44756,150.51732,9382.84
-36.682728,150.50351,9286.707
-36.481194,150.39319,9367.409
-36.487823,150.45189,9355.373
-36.66696,150.41672,9307.012
-36.609562,150.3432,9387.8125
-36.689575,150.51462,9311.741
-36.811787,150.31064,9293.954
-36.63109,150.34236,9383.564
-36.631546,150.39407,9381.629
-36.811264,150.3701,9323.629
-36.859562,150.30937,9322.439
-36.77243,150.33464,9342.689
-36.749992,150.27396,9343.878
-36.703403,150.22305,9376.821
-36.730183,150.25533,9401.983
-36.85808,150.31071,9377.075
-36.779747,150.23308,9404.08
-36.883698,150.30534,9391.62
-36.819817,150.32027,9392.381
-36.941517,150.1368,9368.9
-36.81587,150.18672,9439.512
-36.946117,150.27272,9409.597
-36.90426,150.15189,9419.643
-36.92626,150.1458,9433.8545
-36.840786,150.24963,9463.817
-37.049503,150.13258,9412.662
-36.874916,150.14822,9458.932
-36.8119,150.07526,9484.022
-37.076935,150.12946,9442.7295
-36.94366,150.15141,9477.764
-36.927322,150.06941,9489.713
-37.065086,150.12311,9455.946
-36.88576,150.03355,9503.49
-37.050903,150.01103,9484.188
-37.06037,150.11848,9495.742
-37.097218,150.16379,9481.954
-37.132626,150.06413,9468.129
-37.103695,149.98682,9477.557
-37.085567,150.00174,9491.06
-37.198925,149.99516,9472.55
-36.97505,149.92451,9542.0
-37.052765,149.93121,9538.052
-37.094128,149.95587,9538.515
-37.134842,150.01262,9532.204
-37.176414,150.03804,9525.014
-37.200577,149.9878,9524.136
