#ATom navigation files,,,,,,,,,,
#  ATom1: 2016-07-29 to 2016-08-23,,,,,,,,,,
#  ATom2: 2017-01-26 to 2017-02-21,,,,,,,,,,
#  ATom3: 2017-09-28 to 2017-10-27,,,,,,,,,,
#  ATom4: 2018-04-24 to 2018-05-21,,,,,,,,,,
#  Col 1: Index A#[sequence number], where #= 1,2,3,4,,,,,,
#  Col 2: Research Flight number,,,,,,,,,,
#  Col 3: Date as YYYYMMDD, starting date UTC,,,,,,,,,
#  Col 4: Start time of interval UTC seconds from midnight on YYYYMMDD (may exceed 86400, does not roll after midinght),,,,,,,,,
#  Col 5: End time of interval (10s nominal) UTC seconds from midnight on YYYYMMDD,,,,,,,,,,
#  Col 5,6, 7:  Latitude, Longitude, Altitude (deg, deg, m above masl). GPS data from MMS.,,,,
#  Col 8, 9: Pressure, Temperature (hPa, deg K)   Static pressure and temperature from MMS.,,,,,,,
#  Col 10:  Cumulative ground track distance (km, for each ATom deployment),,,,,,,,,
#index,RF,YYYYMMDD,UTC_Start,UTC_Stop,Latitude,Longitude,Altitude (m masl GPS),P (hPa),T(K),CumDist (km)
A3_00001,-2,20170914,68620,68630,34.63132,-118.1045433,976.0166667,902.9783333,293.8683333,0.3688409
A3_00002,-2,20170914,68630,68640,34.63157,-118.111103,1046.65,896.184,293.067,1.143317
A3_00003,-2,20170914,68640,68650,34.63329,-118.119238,1101.45,890.897,292.268,1.932662
A3_00004,-2,20170914,68650,68660,34.636799,-118.127397,1166.43,884.093,291.65,2.818621
A3_00005,-2,20170914,68660,68670,34.642334,-118.134505,1226.45,878.294,291.647,3.744188
A3_00006,-2,20170914,68670,68680,34.64967,-118.139803,1332.59,867.433,290.647,4.723014
A3_00007,-2,20170914,68680,68690,34.658541,-118.142718,1391.08,861.065,290.152,5.799093
A3_00008,-2,20170914,68690,68700,34.668701,-118.141993,1455.21,854.647,289.934,6.982413
A3_00009,-2,20170914,68700,68710,34.679009,-118.137213,1560.81,844.331,290.374,8.251555
A3_00010,-2,20170914,68710,68720,34.68815,-118.129067,1696.38,830.614,290.235,9.559489
A3_00011,-2,20170914,68720,68730,34.695168,-118.117043,1792.21,821.072,289.539,10.93537
A3_00012,-2,20170914,68730,68740,34.699248,-118.102435,1870.21,813.573,289.193,12.38546
A3_00013,-2,20170914,68740,68750,34.699739,-118.086346,1973.65,803.785,289.186,13.8849
A3_00014,-2,20170914,68750,68760,34.696328,-118.0705,2110.46,790.857,288.411,15.40808
A3_00015,-2,20170914,68760,68770,34.688934,-118.056472,2254.72,777.23,287.419,16.97998
A3_00016,-2,20170914,68770,68780,34.678054,-118.04655,2392.61,764.715,286.01,18.50056
