Date,Time,X,Y,Z
2020-03-14,02:48:26,-4640708.851,2554510.052,-3540444.487
2020-03-14,02:48:29,-4640706.662,2554507.264,-3540448.977
2020-03-14,02:48:31,-4640704.238,2554505.930,-3540452.730
2020-03-14,02:48:33,-4640702.890,2554503.499,-3540456.227
2020-03-14,02:48:35,-4640701.135,2554500.950,-3540459.981
2020-03-14,02:48:37,-4640700.121,2554497.226,-3540463.790
2020-03-14,02:48:39,-4640698.411,2554494.596,-3540467.544
2020-03-14,02:48:41,-4640697.615,2554490.991,-3540470.985
2020-03-14,02:48:43,-4640695.931,2554488.482,-3540474.259
2020-03-14,02:48:45,-4640696.066,2554483.701,-3540477.868
2020-03-14,02:48:47,-4640696.653,2554479.170,-3540480.888
2020-03-14,02:48:49,-4640697.383,2554474.717,-3540482.413
2020-03-14,02:48:51,-4640698.564,2554468.929,-3540484.307
2020-03-14,02:48:53,-4640700.413,2554461.926,-3540485.664
2020-03-14,02:48:55,-4640701.141,2554457.472,-3540486.654
2020-03-14,02:48:57,-4640703.659,2554450.838,-3540487.055
2020-03-14,02:48:59,-4640705.781,2554445.568,-3540487.532
2020-03-14,02:49:01,-4640708.636,2554439.013,-3540488.692
2020-03-14,02:49:03,-4640712.765,2554431.682,-3540488.212
2020-03-14,02:49:05,-4640715.860,2554425.365,-3540486.918
2020-03-14,02:49:07,-4640720.267,2554418.081,-3540485.147
2020-03-14,02:49:09,-4640724.161,2554412.204,-3540483.931
2020-03-14,02:49:11,-4640728.350,2554404.800,-3540482.528
2020-03-14,02:49:13,-4640731.971,2554398.773,-3540480.701
2020-03-14,02:49:15,-4640736.432,2554391.519,-3540479.373
2020-03-14,02:49:17,-4640740.578,2554384.198,-3540478.505
2020-03-14,02:49:19,-4640745.132,2554375.412,-3540478.874
2020-03-14,02:49:21,-4640750.029,2554368.398,-3540477.345
2020-03-14,02:49:23,-4640755.349,2554361.722,-3540473.770
2020-03-14,02:49:25,-4640760.490,2554358.114,-3540468.945
2020-03-14,02:49:27,-4640765.721,2554354.556,-3540463.788
2020-03-14,02:49:29,-4640770.934,2554352.571,-3540457.527
2020-03-14,02:49:31,-4640776.249,2554352.330,-3540450.422
2020-03-14,02:49:33,-4640781.081,2554353.301,-3540441.285
2020-03-14,02:49:35,-4640785.129,2554355.529,-3540433.164
2020-03-14,02:49:37,-4640788.772,2554359.223,-3540424.878
2020-03-14,02:49:39,-4640793.038,2554361.571,-3540416.924
2020-03-14,02:49:41,-4640796.548,2554366.669,-3540409.417
2020-03-14,02:49:43,-4640800.146,2554370.232,-3540401.999
2020-03-14,02:49:45,-4640803.450,2554375.323,-3540395.304
2020-03-14,02:49:47,-4640807.339,2554379.046,-3540388.109
2020-03-14,02:49:49,-4640810.429,2554382.330,-3540380.835
2020-03-14,02:49:51,-4640814.275,2554386.135,-3540374.176
2020-03-14,02:49:53,-4640818.382,2554389.979,-3540367.149
2020-03-14,02:49:55,-4640822.633,2554393.902,-3540359.697
2020-03-14,02:49:57,-4640826.303,2554397.505,-3540351.799
2020-03-14,02:49:59,-4640829.098,2554402.315,-3540344.713
2020-03-14,02:50:01,-4640831.170,2554408.310,-3540337.719
2020-03-14,02:50:03,-4640832.339,2554415.391,-3540331.480
2020-03-14,02:50:05,-4640833.295,2554420.667,-3540325.200
2020-03-14,02:50:07,-4640835.061,2554426.494,-3540319.441
